customer_id,age,gender,location,income_level,annual_income,spending_score,purchase_frequency,avg_order_value,total_annual_spend,days_since_last_visit,num_categories_bought,loyalty_years,discount_usage_pct,online_purchase_pct,return_rate,support_tickets,preferred_category
CUST00125,63,Other,Urban,Medium,43213,29,1,280.75,280.75,103,2,0,0.42,0.34,0.235,2,Electronics
CUST00126,47,Male,Suburban,Medium,56473,18,15,30.51,457.65,57,2,3,0.06,0.05,0.21,8,Fashion
CUST00127,22,Female,Urban,Medium,56213,26,46,225.35,10366.1,338,6,1,0.95,0.3,0.067,7,Sports
CUST00128,58,Male,Urban,Medium,44951,25,43,114.77,4935.11,147,10,0,0.9,0.91,0.108,2,Grocery
CUST00129,48,Female,Urban,Medium,46693,14,6,459.18,2755.08,303,6,4,0.05,0.41,0.285,7,Grocery
CUST00130,51,Female,Urban,Low,27574,1,9,488.52,4396.68,122,5,4,0.84,0.86,0.198,6,Fashion
CUST00131,47,Female,Urban,Low,17137,1,30,156.83,4704.9,349,10,1,0.51,0.51,0.237,3,Electronics
CUST00132,47,Female,Rural,Medium,54995,36,35,95.84,3354.4,318,7,8,0.7,0.52,0.291,4,Grocery
CUST00133,22,Male,Suburban,High,94572,52,52,117.56,6113.12,113,8,9,0.89,0.01,0.069,9,Grocery
CUST00134,47,Male,Suburban,Medium,55772,20,40,244.1,9764.0,178,6,7,0.58,0.64,0.097,1,Travel
CUST00135,60,Male,Rural,Medium,42256,28,12,438.51,5262.12,290,8,5,0.12,0.11,0.193,7,Travel
CUST00136,34,Male,Urban,Medium,49727,30,2,255.02,510.04,83,6,10,0.0,0.48,0.007,9,Home & Garden
CUST00137,49,Female,Urban,Medium,51048,35,33,37.14,1225.62,9,7,3,0.5,0.26,0.171,10,Grocery
CUST00138,19,Female,Rural,Low,25396,25,29,29.54,856.66,106,7,4,0.95,0.39,0.243,3,Home & Garden
CUST00139,36,Female,Urban,High,85591,54,48,121.42,5828.16,216,8,0,0.57,0.54,0.183,2,Sports
CUST00140,41,Female,Suburban,Low,16908,1,30,422.96,12688.8,50,9,7,0.37,0.01,0.089,10,Home & Garden
CUST00141,70,Female,Suburban,High,84878,50,27,314.53,8492.31,122,3,1,0.03,0.28,0.217,5,Books
CUST00142,29,Female,Urban,High,94191,44,16,285.85,4573.6,336,7,7,0.91,0.99,0.044,6,Travel
CUST00143,32,Male,Urban,Medium,57982,25,5,166.3,831.5,28,1,8,0.33,0.06,0.268,5,Home & Garden
CUST00144,39,Male,Urban,High,84247,47,46,465.42,21409.32,19,6,2,0.7,0.32,0.03,5,Electronics
CUST00145,70,Female,Urban,Medium,45730,25,43,172.28,7408.04,155,9,6,0.69,0.32,0.259,6,Electronics
CUST00146,63,Female,Urban,High,86913,41,9,419.12,3772.08,5,7,3,0.25,0.38,0.149,4,Books
CUST00147,19,Male,Urban,High,96225,63,37,448.99,16612.63,11,3,4,0.06,0.68,0.129,4,Home & Garden
CUST00148,30,Female,Suburban,High,89132,34,19,246.83,4689.77,67,7,5,0.39,0.25,0.15,4,Grocery
CUST00149,61,Female,Rural,High,86511,31,23,448.2,10308.6,38,4,2,0.32,0.46,0.06,7,Sports
CUST00150,21,Male,Suburban,High,87157,28,45,145.63,6553.35,296,5,8,0.7,0.64,0.137,8,Travel
CUST00151,63,Male,Urban,Very High,151570,85,44,332.63,14635.72,45,3,4,0.82,0.32,0.255,6,Home & Garden
CUST00152,32,Female,Urban,Medium,48192,21,10,53.1,531.0,192,7,5,0.22,0.95,0.24,7,Grocery
CUST00153,66,Female,Urban,High,84246,40,16,242.23,3875.68,258,2,8,0.53,0.98,0.049,4,Books
CUST00154,33,Male,Urban,High,95122,52,43,116.49,5009.07,229,5,2,0.04,0.12,0.202,8,Electronics
CUST00155,41,Female,Rural,Medium,48756,22,48,40.75,1956.0,239,10,4,0.21,0.34,0.257,4,Books
CUST00156,53,Male,Urban,Very High,146107,75,5,11.83,59.15,131,8,10,0.76,0.21,0.246,4,Sports
CUST00157,24,Female,Urban,Medium,53655,12,44,169.13,7441.72,325,5,4,0.79,0.19,0.128,0,Electronics
CUST00158,47,Male,Suburban,Medium,53925,15,26,298.87,7770.62,26,10,1,0.78,0.49,0.014,2,Fashion
CUST00159,44,Female,Urban,Low,14480,20,31,233.06,7224.86,40,1,3,0.14,0.56,0.279,8,Beauty
CUST00160,59,Male,Urban,Low,13179,4,4,157.87,631.48,313,10,10,0.55,0.43,0.119,0,Books
CUST00161,70,Male,Urban,High,82726,31,36,495.69,17844.84,25,4,8,0.42,0.27,0.108,2,Fashion
CUST00162,53,Female,Suburban,Medium,54252,23,36,470.37,16933.32,71,9,8,0.99,0.28,0.228,8,Beauty
CUST00163,39,Male,Suburban,Medium,52012,21,35,71.57,2504.95,64,10,2,0.65,0.99,0.079,9,Travel
CUST00164,39,Male,Urban,Low,24673,5,42,213.4,8962.8,13,7,9,0.94,0.92,0.25,4,Beauty
CUST00165,40,Male,Rural,Medium,52023,20,50,327.93,16396.5,43,7,4,0.15,0.08,0.023,4,Beauty
CUST00166,61,Female,Rural,High,88427,51,45,369.41,16623.45,210,8,8,0.45,0.66,0.222,5,Fashion
CUST00167,35,Female,Suburban,High,91433,33,39,189.52,7391.28,242,3,9,0.77,0.46,0.29,8,Beauty
CUST00168,26,Other,Urban,Low,23560,5,52,375.68,19535.36,31,2,2,0.37,0.69,0.299,5,Beauty
CUST00169,35,Male,Urban,Medium,48381,23,36,70.83,2549.88,344,4,10,0.63,0.6,0.277,1,Electronics
CUST00170,19,Male,Rural,Medium,56643,29,35,172.59,6040.65,35,5,6,0.51,0.89,0.261,4,Grocery
CUST00171,23,Male,Urban,Medium,56394,40,29,361.05,10470.45,251,8,8,0.99,0.07,0.084,2,Travel
CUST00172,22,Female,Suburban,Medium,54812,40,40,316.58,12663.2,293,3,8,0.17,0.35,0.29,7,Travel
CUST00173,58,Other,Suburban,Medium,57877,22,4,420.23,1680.92,191,6,1,0.94,0.99,0.278,1,Fashion
CUST00174,56,Female,Urban,Medium,48247,25,27,32.96,889.92,180,1,8,0.4,0.18,0.16,6,Beauty
CUST00175,54,Female,Suburban,Medium,43825,6,23,95.45,2195.35,40,1,2,0.47,0.13,0.121,1,Sports
CUST00176,42,Male,Rural,Medium,49747,28,48,33.76,1620.48,89,10,2,0.53,0.73,0.033,10,Sports
CUST00177,56,Female,Suburban,Medium,53934,15,4,104.14,416.56,311,9,1,0.27,0.78,0.177,7,Sports
CUST00178,26,Female,Urban,High,94470,34,34,12.1,411.4,128,9,1,0.96,0.67,0.21,1,Books
CUST00179,65,Male,Rural,High,88216,49,10,257.06,2570.6,13,4,10,0.91,0.78,0.121,10,Home & Garden
CUST00180,44,Male,Suburban,Medium,46681,13,46,268.87,12368.02,267,6,3,0.97,0.69,0.122,6,Sports
CUST00181,67,Male,Suburban,High,89128,43,45,332.37,14956.65,250,7,4,1.0,0.14,0.172,6,Beauty
CUST00182,26,Male,Suburban,High,94862,35,13,198.61,2581.93,25,3,5,0.67,0.61,0.008,0,Sports
CUST00183,44,Male,Suburban,Low,12969,14,46,11.57,532.22,19,8,7,0.45,0.78,0.287,2,Travel
CUST00184,54,Male,Urban,Medium,47249,31,26,340.21,8845.46,43,7,6,0.85,0.87,0.087,8,Fashion
CUST00185,44,Female,Urban,Medium,45678,24,51,36.6,1866.6,19,5,5,0.02,0.25,0.042,5,Travel
CUST00186,41,Male,Urban,High,94896,57,38,434.42,16507.96,225,5,9,0.83,0.13,0.002,6,Beauty
CUST00187,26,Male,Suburban,Low,19514,7,2,21.1,42.2,49,4,5,0.5,0.78,0.257,10,Travel
CUST00188,38,Female,Suburban,High,83388,31,11,269.93,2969.23,222,9,8,0.67,0.26,0.259,4,Grocery
CUST00189,30,Female,Suburban,Medium,46188,12,21,448.51,9418.71,65,10,10,0.37,0.03,0.029,4,Home & Garden
CUST00190,33,Female,Urban,Medium,42710,12,11,290.52,3195.72,355,10,7,0.37,0.83,0.046,8,Electronics
CUST00191,54,Male,Suburban,Very High,149609,65,7,308.12,2156.84,265,8,0,0.03,0.51,0.134,0,Travel
CUST00192,51,Female,Rural,Medium,57963,23,51,343.99,17543.49,137,4,2,0.42,0.33,0.056,5,Books
CUST00193,50,Male,Urban,High,91076,36,46,69.98,3219.08,157,8,6,0.41,0.01,0.221,9,Grocery
CUST00194,37,Male,Suburban,Very High,155912,80,23,340.71,7836.33,24,3,5,0.22,0.04,0.017,2,Electronics
CUST00195,68,Female,Suburban,High,93882,35,12,441.37,5296.44,21,9,3,0.25,0.79,0.165,3,Beauty
CUST00196,22,Female,Suburban,Low,26126,17,10,487.37,4873.7,197,3,3,0.58,0.49,0.115,5,Beauty
CUST00197,36,Female,Urban,High,86976,38,48,227.1,10900.8,9,5,0,0.32,0.15,0.139,0,Sports
CUST00198,24,Female,Suburban,Low,27221,19,18,178.81,3218.58,233,1,2,0.83,0.36,0.127,0,Fashion
CUST00199,35,Female,Rural,Medium,45818,22,1,379.12,379.12,140,1,8,0.11,0.17,0.046,2,Travel
CUST00200,68,Male,Suburban,High,89013,57,21,276.01,5796.21,51,4,0,0.58,0.11,0.066,9,Home & Garden
CUST00201,37,Male,Rural,High,92901,44,24,136.08,3265.92,196,6,9,0.16,0.28,0.019,2,Beauty
CUST00202,66,Male,Rural,Medium,46589,17,33,94.36,3113.88,202,1,3,0.53,0.55,0.035,8,Books
CUST00203,44,Male,Urban,Medium,46231,26,18,93.41,1681.38,273,9,8,0.55,0.21,0.293,4,Sports
CUST00204,55,Female,Suburban,High,84080,47,48,235.0,11280.0,73,2,2,0.64,0.34,0.084,8,Electronics
CUST00205,42,Male,Urban,High,82067,39,34,93.36,3174.24,200,10,9,0.43,0.48,0.092,3,Travel
CUST00206,32,Female,Rural,Medium,50019,27,52,19.66,1022.32,309,3,6,0.51,0.42,0.038,9,Beauty
CUST00207,58,Female,Urban,High,97789,47,20,35.52,710.4,99,4,9,0.18,0.13,0.227,4,Travel
CUST00208,69,Female,Urban,Low,15520,1,34,465.64,15831.76,305,2,0,0.46,0.04,0.277,8,Sports
CUST00209,31,Male,Rural,Low,19042,3,19,45.75,869.25,265,9,8,0.37,0.04,0.237,9,Travel
CUST00210,59,Male,Urban,Medium,56969,41,37,45.86,1696.82,157,8,2,0.67,0.35,0.184,4,Books
CUST00211,31,Other,Suburban,Very High,154357,82,39,231.08,9012.12,323,1,3,0.43,0.72,0.244,7,Fashion
CUST00212,55,Female,Urban,Low,12064,1,17,130.1,2211.7,353,2,0,0.78,0.13,0.121,1,Fashion
CUST00213,59,Female,Rural,Low,20010,24,49,481.72,23604.28,87,7,10,0.43,0.79,0.258,5,Fashion
CUST00214,41,Female,Rural,Low,14291,14,45,456.38,20537.1,358,9,7,0.24,0.72,0.24,4,Books
CUST00215,57,Female,Urban,High,85952,28,47,208.32,9791.04,1,2,10,0.27,0.0,0.001,10,Fashion
CUST00216,32,Male,Suburban,Low,15943,14,12,229.88,2758.56,48,3,6,0.05,0.03,0.146,10,Home & Garden
CUST00217,22,Female,Urban,Medium,51800,28,38,193.81,7364.78,16,6,1,0.54,0.2,0.079,8,Books
CUST00218,23,Male,Suburban,Very High,145183,85,6,28.55,171.3,135,2,3,0.83,0.06,0.026,10,Home & Garden
CUST00219,41,Female,Suburban,Low,16030,8,6,153.49,920.94,342,4,4,0.77,0.53,0.254,10,Electronics
CUST00220,65,Female,Suburban,Medium,45612,23,51,70.11,3575.61,220,1,1,0.44,0.04,0.002,8,Grocery
CUST00221,24,Female,Urban,Medium,47710,17,8,60.16,481.28,226,5,10,0.2,0.8,0.219,6,Electronics
CUST00222,42,Male,Urban,High,92497,40,45,284.82,12816.9,31,8,10,0.86,0.49,0.296,2,Home & Garden
CUST00223,55,Male,Suburban,Medium,48399,28,23,58.39,1342.97,189,5,6,0.06,0.73,0.145,8,Beauty
CUST00224,28,Female,Suburban,Medium,47240,33,16,60.44,967.04,140,3,6,0.4,0.75,0.111,2,Sports
CUST00225,56,Male,Urban,Low,20282,22,4,245.45,981.8,175,5,7,0.86,0.51,0.182,2,Beauty
CUST00226,34,Male,Urban,High,91841,53,36,226.72,8161.92,96,6,7,0.39,0.93,0.241,9,Electronics
CUST00227,60,Male,Urban,High,82245,44,38,77.44,2942.72,74,2,0,0.12,0.99,0.072,1,Books
CUST00228,48,Male,Rural,Low,26245,13,25,12.18,304.5,348,2,5,0.27,0.36,0.075,1,Home & Garden
CUST00229,46,Male,Urban,Medium,56663,23,43,104.56,4496.08,204,2,8,0.6,0.13,0.182,5,Grocery
CUST00230,27,Female,Urban,High,91641,53,17,125.59,2135.03,151,10,8,0.15,0.36,0.282,6,Beauty
CUST00231,42,Male,Rural,Low,21194,4,29,402.12,11661.48,27,8,6,0.65,0.22,0.09,0,Fashion
CUST00232,63,Male,Urban,Medium,53113,19,15,458.56,6878.4,279,2,9,0.44,0.53,0.113,4,Home & Garden
